Date,Daily Open,Daily High,Daily Low,Daily Close,Volume
2020-01-22 00:00:00-05:00,917.0,922.0,913.25,913.75,92153
2020-01-23 00:00:00-05:00,914.0,914.75,904.0,909.5,98543
2020-01-24 00:00:00-05:00,909.25,909.25,900.75,902.0,77349
2020-01-27 00:00:00-05:00,899.25,900.0,888.25,897.25,107839
2020-01-28 00:00:00-05:00,897.5,898.0,888.5,895.0,86749
2020-01-29 00:00:00-05:00,896.0,903.0,890.75,893.0,77353
2020-01-30 00:00:00-05:00,893.5,893.75,875.5,876.25,123089
2020-01-31 00:00:00-05:00,880.0,882.75,872.25,872.5,88324
2020-02-03 00:00:00-05:00,870.75,878.75,868.75,877.0,138975
2020-02-04 00:00:00-05:00,876.25,887.0,873.75,879.5,102451
2020-02-05 00:00:00-05:00,880.0,888.0,878.0,880.0,75259
2020-02-06 00:00:00-05:00,880.0,886.25,876.75,881.0,110541
2020-02-07 00:00:00-05:00,883.25,884.75,876.25,882.0,124917
2020-02-10 00:00:00-05:00,883.0,889.75,879.5,884.25,145123
2020-02-11 00:00:00-05:00,885.75,889.0,878.0,884.75,134299
2020-02-12 00:00:00-05:00,885.5,893.0,881.5,892.5,163370
2020-02-13 00:00:00-05:00,891.0,899.75,888.5,896.25,193428
2020-02-14 00:00:00-05:00,896.25,899.25,890.0,893.75,130575
2020-02-18 00:00:00-05:00,894.75,898.5,889.25,892.25,133199
2020-02-19 00:00:00-05:00,892.25,898.25,885.0,897.25,142100
2020-02-20 00:00:00-05:00,896.5,898.0,891.25,892.75,99285
2020-02-21 00:00:00-05:00,892.0,902.0,887.5,890.5,139963
2020-02-24 00:00:00-05:00,888.0,888.5,870.75,874.25,91246
2020-02-25 00:00:00-05:00,875.5,880.75,873.25,879.0,56793
2020-02-26 00:00:00-05:00,879.5,888.25,875.5,881.0,86864
2020-02-27 00:00:00-05:00,880.5,887.75,866.75,886.25,67399
2020-02-28 00:00:00-05:00,886.25,887.25,874.5,883.5,11811
2020-03-02 00:00:00-05:00,883.75,895.0,883.75,890.5,4084
2020-03-03 00:00:00-05:00,891.25,895.5,889.25,893.0,3011
2020-03-04 00:00:00-05:00,898.5,900.75,897.25,898.75,657
2020-03-05 00:00:00-05:00,896.5,896.5,889.0,889.0,291
2020-03-06 00:00:00-05:00,890.75,892.0,882.0,883.25,406
2020-03-09 00:00:00-04:00,865.0,871.75,861.75,863.5,223
2020-03-10 00:00:00-04:00,874.25,879.5,871.5,873.0,380
2020-03-11 00:00:00-04:00,876.25,878.5,867.75,867.75,228
2020-03-12 00:00:00-04:00,871.25,871.25,853.75,855.0,8
2020-03-13 00:00:00-04:00,846.75,846.75,846.75,846.75,157825
