businessDate,transactionTime,rate,productCode,securityId,productDescription
01-04-2021,01-04-2021:11:00:00,0.0569,TR6,623206,6-MTH SOFR SYNTH FUT
01-04-2021,01-04-2021:11:00:00,0.063,TR3,663077,3-MTH SOFR SYNTH FUT
01-04-2021,01-04-2021:11:00:00,0.0698,TR1,401927,1-MTH SOFR SYNTH FUT
01-04-2021,01-04-2021:11:00:00,0.05614,TY1,729303,12MTH SOFR SYNTH FUT
01-05-2021,01-05-2021:11:00:33,0.056,TR6,623206,6-MTH SOFR SYNTH FUT
01-05-2021,01-05-2021:11:00:33,0.0628,TR3,663077,3-MTH SOFR SYNTH FUT
01-05-2021,01-05-2021:11:00:33,0.0699,TR1,401927,1-MTH SOFR SYNTH FUT
01-05-2021,01-05-2021:11:00:33,0.05981,TY1,729303,12MTH SOFR SYNTH FUT
01-06-2021,01-06-2021:11:00:00,0.0588,TR6,623206,6-MTH SOFR SYNTH FUT
01-06-2021,01-06-2021:11:00:00,0.0668,TR3,663077,3-MTH SOFR SYNTH FUT
01-06-2021,01-06-2021:11:00:00,0.076,TR1,401927,1-MTH SOFR SYNTH FUT
01-06-2021,01-06-2021:11:00:00,0.06799,TY1,729303,12MTH SOFR SYNTH FUT
01-07-2021,01-07-2021:11:00:00,0.0651,TR6,623206,6-MTH SOFR SYNTH FUT
01-07-2021,01-07-2021:11:00:00,0.0706,TR3,663077,3-MTH SOFR SYNTH FUT
01-07-2021,01-07-2021:11:00:00,0.0769,TR1,401927,1-MTH SOFR SYNTH FUT
01-07-2021,01-07-2021:11:00:00,0.06836,TY1,729303,12MTH SOFR SYNTH FUT
01-08-2021,01-08-2021:11:00:35,0.0658,TR6,623206,6-MTH SOFR SYNTH FUT
01-08-2021,01-08-2021:11:00:35,0.0697,TR3,663077,3-MTH SOFR SYNTH FUT
01-08-2021,01-08-2021:11:00:35,0.0761,TR1,401927,1-MTH SOFR SYNTH FUT
01-08-2021,01-08-2021:11:00:35,0.06621,TY1,729303,12MTH SOFR SYNTH FUT
01-11-2021,01-11-2021:11:00:00,0.0636,TR6,623206,6-MTH SOFR SYNTH FUT
01-11-2021,01-11-2021:11:00:00,0.0689,TR3,663077,3-MTH SOFR SYNTH FUT
01-11-2021,01-11-2021:11:00:00,0.0749,TR1,401927,1-MTH SOFR SYNTH FUT
01-11-2021,01-11-2021:11:00:00,0.06456,TY1,729303,12MTH SOFR SYNTH FUT
01-12-2021,01-12-2021:11:00:00,0.061,TR6,623206,6-MTH SOFR SYNTH FUT
01-12-2021,01-12-2021:11:00:00,0.0661,TR3,663077,3-MTH SOFR SYNTH FUT
01-12-2021,01-12-2021:11:00:00,0.0722,TR1,401927,1-MTH SOFR SYNTH FUT
01-12-2021,01-12-2021:11:00:00,0.06905,TY1,729303,12MTH SOFR SYNTH FUT
01-13-2021,01-13-2021:11:00:00,0.0653,TR6,623206,6-MTH SOFR SYNTH FUT
01-13-2021,01-13-2021:11:00:00,0.07,TR3,663077,3-MTH SOFR SYNTH FUT
01-13-2021,01-13-2021:11:00:00,0.075,TR1,401927,1-MTH SOFR SYNTH FUT
